p1 p2 p3 <I> <I^2> <S> <R> <I_err>
0.6000000000000001 0.5 0.6000000000000001 0.322246 0.10398856399999999 0.40919960000000005 0.26855439999999997 2.618346072711719e-09
0.6000000000000001 0.5 0.65 0.33447 0.1120095544 0.40829640000000006 0.2572336 2.366120375035731e-09
0.6000000000000001 0.5 0.7000000000000001 0.3438323999999999 0.11835972464 0.41062919999999997 0.2455384 2.3920659203499628e-09
0.6000000000000001 0.5 0.75 0.35405320000000007 0.12550213616 0.4102172 0.2357296 2.6054159985590827e-09
0.6000000000000001 0.5 0.8 0.36196040000000007 0.13116628464000002 0.4118856 0.226154 2.8556405135607022e-09
0.6000000000000001 0.5 0.8500000000000001 0.36991599999999997 0.13697231104000002 0.41211879999999995 0.21796519999999997 2.3194815406360537e-09
0.6000000000000001 0.5 0.9 0.377282 0.14247626223999998 0.41317719999999997 0.2095408 2.5969448092639685e-09
0.6000000000000001 0.5 0.9500000000000001 0.3841808 0.14772460575999996 0.4143268 0.20149240000000002 2.169035667584722e-09
0.6000000000000001 0.5 1.0 0.39005599999999996 0.15227218048000002 0.41537519999999994 0.19456880000000001 2.211809978360937e-09
0.65 0.5 0.0 0.0 0.0 0.09800000000000002 0.9019999999999997 0.0
0.65 0.5 0.05 0.0 0.0 0.9997984 0.00020160000000000002 0.0
0.65 0.5 0.1 0.0633996 0.00423846128 0.6199592 0.31664119999999996 3.77684546392382e-09
0.65 0.5 0.15000000000000002 0.1079124 0.011824596639999999 0.5312688000000001 0.3608188 3.0178646374947612e-09
0.65 0.5 0.2 0.1508184 0.022944447680000004 0.47073919999999997 0.3784424 3.50566372921522e-09
0.65 0.5 0.25 0.1892744 0.03598341056 0.4337396 0.376986 2.640061554578583e-09
0.65 0.5 0.30000000000000004 0.22143960000000001 0.04919413232 0.4096984 0.368862 2.9424258955899222e-09
0.65 0.5 0.35000000000000003 0.24849000000000002 0.06191530512 0.39745240000000004 0.3540576 2.8658854314896324e-09
0.65 0.5 0.4 0.2713556 0.07380003216 0.3891591999999999 0.33948520000000004 2.8570370360957653e-09
0.65 0.5 0.45 0.29046320000000003 0.0845250016 0.38495680000000004 0.32458 2.8174239427986975e-09
0.65 0.5 0.5 0.30976640000000005 0.09610111904000002 0.3810832 0.3091504 2.584061830863373e-09
0.65 0.5 0.55 0.32496479999999994 0.10574829888000001 0.3796012 0.295434 2.4369890076663657e-09
0.65 0.5 0.6000000000000001 0.3376224 0.11413947136000001 0.3809424 0.2814352 2.7357868836840473e-09
0.65 0.5 0.65 0.3489828 0.12193744559999999 0.3821756 0.26884159999999996 2.5478590162200205e-09
0.65 0.5 0.7000000000000001 0.3603236 0.12996269264 0.38212959999999996 0.25754679999999996 2.4025692107474916e-09
0.65 0.5 0.75 0.370218 0.1372234712 0.3827264 0.2470556 3.00492205114822e-09
0.65 0.5 0.8 0.378804 0.14363968992 0.384856 0.23634 2.6071605116659255e-09
0.65 0.5 0.8500000000000001 0.38618759999999996 0.14928516688 0.38662799999999997 0.22718439999999998 2.4667132343213133e-09
0.65 0.5 0.9 0.39321680000000003 0.15477035744 0.3878072 0.218976 2.735841435660326e-09
0.65 0.5 0.9500000000000001 0.4005424 0.16056412448 0.3883632 0.21109440000000002 2.3155802796895024e-09
0.65 0.5 1.0 0.4060772 0.16503835472000003 0.3900732 0.20384960000000002 2.4291667796333e-09
