method T <M**2> <M>**2 X <E**2> <E>**2 C
 glauber 1.2000000000000002 1.0 1.0 0.0 1545.78 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1625.78 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1705.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1785.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1864.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 1944.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2024.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2103.9 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9216 0.006533333333333335 2183.22 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2261.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2341.66 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2421.38 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2501.06 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2581.06 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2660.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2740.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2819.9 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2899.9 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 2979.74 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 3059.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 3138.06 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 3216.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 3296.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 3376.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 3455.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 3534.58 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 3612.7 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 3692.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 3772.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 3852.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 3932.02 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4011.34 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4090.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4170.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 4250.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4329.9 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 4408.82 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4488.66 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4568.34 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4648.34 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4727.74 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4807.74 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4887.26 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 4966.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5046.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5126.34 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 5206.06 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5285.46 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5365.26 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5445.26 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5524.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5604.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5684.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5764.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 5843.58 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 5923.02 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6001.82 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 6081.5 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6161.3 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6240.46 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6320.18 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 0.9603999999999999 0.003300000000000006 6399.54 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6478.18 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6557.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6637.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6717.98 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6797.7 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6876.7 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 6956.42 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7036.14 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7115.7 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7195.7 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7275.26 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7354.22 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7433.62 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7513.22 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7592.78 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7672.78 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7751.14 E2 C(E1, E2)
 glauber 1.2000000000000002 1.0 1.0 0.0 7829.62 E2 C(E1, E2)
 glauber 1.3000000000000003 1.0 1.0 0.0 -49.42 E2 C(E1, E2)
